Category: Real Estate Agencies,,
,,
Week,Geo: United States,
2004/1/4,79,1165
2004/1/11,76,1165
2004/1/18,75,1165
2004/1/25,73,1165
2004/2/1,77,1159
2004/2/8,70,1159
2004/2/15,78,1159
2004/2/22,83,1159
2004/2/29,81,1159
2004/3/7,71,1276
2004/3/14,73,1276
2004/3/21,71,1276
2004/3/28,82,1276
2004/4/4,78,1186
2004/4/11,100,1186
2004/4/18,77,1186
2004/4/25,81,1186
2004/5/2,82,1241
2004/5/9,69,1241
2004/5/16,80,1241
2004/5/23,77,1241
2004/5/30,77,1241
2004/6/6,77,1180
2004/6/13,79,1180
2004/6/20,77,1180
2004/6/27,69,1180
2004/7/4,78,1088
2004/7/11,80,1088
2004/7/18,79,1088
2004/7/25,83,1088
2004/8/1,89,1175
2004/8/8,76,1175
2004/8/15,82,1175
2004/8/22,76,1175
2004/8/29,69,1175
2004/9/5,68,1214
2004/9/12,93,1214
2004/9/19,70,1214
2004/9/26,67,1214
2004/10/3,70,1305
2004/10/10,61,1305
2004/10/17,61,1305
2004/10/24,63,1305
2004/10/31,61,1305
2004/11/7,55,1179
2004/11/14,60,1179
2004/11/21,47,1179
2004/11/28,55,1179
2004/12/5,61,1242
2004/12/12,59,1242
2004/12/19,52,1242
2004/12/26,65,1242
2005/1/2,66,1203
2005/1/9,69,1203
2005/1/16,64,1203
2005/1/23,63,1203
2005/1/30,70,1203
2005/2/6,66,1319
2005/2/13,65,1319
2005/2/20,63,1319
2005/2/27,68,1319
2005/3/6,66,1328
2005/3/13,64,1328
2005/3/20,66,1328
2005/3/27,64,1328
2005/4/3,70,1260
2005/4/10,68,1260
2005/4/17,65,1260
2005/4/24,69,1260
2005/5/1,70,1286
2005/5/8,64,1286
2005/5/15,63,1286
2005/5/22,70,1286
2005/5/29,67,1286
2005/6/5,70,1274
2005/6/12,63,1274
2005/6/19,68,1274
2005/6/26,71,1274
2005/7/3,69,1389
2005/7/10,77,1389
2005/7/17,71,1389
2005/7/24,76,1389
2005/7/31,73,1389
2005/8/7,74,1255
2005/8/14,76,1255
2005/8/21,75,1255
2005/8/28,69,1255
2005/9/4,54,1244
2005/9/11,60,1244
2005/9/18,63,1244
2005/9/25,61,1244
2005/10/2,61,1336
2005/10/9,57,1336
2005/10/16,62,1336
2005/10/23,61,1336
2005/10/30,61,1336
2005/11/6,59,1214
2005/11/13,55,1214
2005/11/20,44,1214
2005/11/27,55,1214
2005/12/4,49,1239
2005/12/11,49,1239
2005/12/18,51,1239
2005/12/25,56,1239
2006/1/1,62,1174
2006/1/8,65,1174
2006/1/15,58,1174
2006/1/22,64,1174
2006/1/29,63,1174
2006/2/5,64,1061
2006/2/12,60,1061
2006/2/19,60,1061
2006/2/26,65,1061
2006/3/5,65,1116
2006/3/12,61,1116
2006/3/19,67,1116
2006/3/26,63,1116
2006/4/2,62,1123
2006/4/9,66,1123
2006/4/16,65,1123
2006/4/23,63,1123
2006/4/30,69,1123
2006/5/7,67,1086
2006/5/14,64,1086
2006/5/21,62,1086
2006/5/28,61,1086
2006/6/4,66,1074
2006/6/11,62,1074
2006/6/18,62,1074
2006/6/25,62,1074
2006/7/2,61,965
2006/7/9,74,965
2006/7/16,68,965
2006/7/23,72,965
2006/7/30,72,965
2006/8/6,69,1035
2006/8/13,67,1035
2006/8/20,62,1035
2006/8/27,59,1035
2006/9/3,59,1016
2006/9/10,57,1016
2006/9/17,56,1016
2006/9/24,56,1016
2006/10/1,55,941
2006/10/8,55,941
2006/10/15,53,941
2006/10/22,52,941
2006/10/29,55,941
2006/11/5,53,1003
2006/11/12,50,1003
2006/11/19,40,1003
2006/11/26,47,1003
2006/12/3,49,998
2006/12/10,47,998
2006/12/17,48,998
2006/12/24,49,998
2006/12/31,55,998
2007/1/7,56,891
2007/1/14,54,891
2007/1/21,55,891
2007/1/28,56,891
2007/2/4,56,828
2007/2/11,55,828
2007/2/18,60,828
2007/2/25,58,828
2007/3/4,58,833
2007/3/11,59,833
2007/3/18,56,833
2007/3/25,58,833
2007/4/1,59,887
2007/4/8,61,887
2007/4/15,55,887
2007/4/22,60,887
2007/4/29,58,887
2007/5/6,59,842
2007/5/13,59,842
2007/5/20,55,842
2007/5/27,52,842
2007/6/3,57,793
2007/6/10,54,793
2007/6/17,57,793
2007/6/24,60,793
2007/7/1,53,778
2007/7/8,60,778
2007/7/15,63,778
2007/7/22,60,778
2007/7/29,58,778
2007/8/5,59,699
2007/8/12,58,699
2007/8/19,51,699
2007/8/26,53,699
2007/9/2,48,686
2007/9/9,48,686
2007/9/16,51,686
2007/9/23,49,686
2007/9/30,50,686
2007/10/7,45,727
2007/10/14,47,727
2007/10/21,44,727
2007/10/28,46,727
2007/11/4,45,641
2007/11/11,43,641
2007/11/18,34,641
2007/11/25,42,641
2007/12/2,40,619
2007/12/9,39,619
2007/12/16,38,619
2007/12/23,39,619
2007/12/30,47,619
2008/1/6,48,627
2008/1/13,48,627
2008/1/20,48,627
2008/1/27,51,627
2008/2/3,49,593
2008/2/10,49,593
2008/2/17,50,593
2008/2/24,47,593
2008/3/2,48,535
2008/3/9,47,535
2008/3/16,45,535
2008/3/23,49,535
2008/3/30,49,535
2008/4/6,48,536
2008/4/13,47,536
2008/4/20,46,536
2008/4/27,49,536
2008/5/4,47,504
2008/5/11,45,504
2008/5/18,45,504
2008/5/25,43,504
2008/6/1,44,487
2008/6/8,46,487
2008/6/15,47,487
2008/6/22,48,487
2008/6/29,45,487
2008/7/6,47,477
2008/7/13,46,477
2008/7/20,50,477
2008/7/27,50,477
2008/8/3,47,435
2008/8/10,47,435
2008/8/17,44,435
2008/8/24,44,435
2008/8/31,40,435
2008/9/7,40,433
2008/9/14,40,433
2008/9/21,39,433
2008/9/28,39,433
2008/10/5,39,393
2008/10/12,36,393
2008/10/19,35,393
2008/10/26,35,393
2008/11/2,33,389
2008/11/9,36,389
2008/11/16,33,389
2008/11/23,27,389
2008/11/30,33,389
2008/12/7,33,377
2008/12/14,32,377
2008/12/21,28,377
2008/12/28,36,377