Date,Seasonally_adjusted_annual_rate,Apartments_Residential_Rentals,Commercial_Investment_Real_Estate,Property_Development,Property_Inspections_Appraisals,Property_Management,Real_Estate_Agencies,Real_Estate_Listings,Timeshares_Vacation_Properties,last_sixmonth_num
2004/1/1,1165,84,98,100,87,97,85,88,99,1168
2004/2/1,1159,84,100,94,93,91,95,87,93,1206
2004/3/1,1276,87,91,96,89,91,91,92,88,1131
2004/4/1,1186,93,94,95,97,90,100,93,83,1144
2004/5/1,1241,91,84,91,89,85,86,89,87,1093
2004/6/1,1180,91,94,85,96,98,96,92,96,1129
2004/7/1,1088,98,93,93,91,100,94,96,100,1165
2004/8/1,1175,91,97,90,96,97,92,97,91,1159
2004/9/1,1214,72,89,90,87,86,89,80,72,1276
2004/10/1,1305,67,84,84,81,82,77,75,63,1186
2004/11/1,1179,67,83,77,81,80,67,70,63,1241
2004/12/1,1242,68,78,76,74,69,66,69,68,1180
2005/1/1,1203,83,90,90,85,87,81,89,97,1088
2005/2/1,1319,83,94,96,88,88,79,91,89,1175
2005/3/1,1328,86,94,90,89,86,84,91,85,1214
2005/4/1,1260,90,90,87,92,86,77,92,77,1305
2005/5/1,1286,88,86,87,87,82,79,93,78,1179
2005/6/1,1274,90,91,82,90,90,81,95,88,1242
2005/7/1,1389,92,89,87,91,93,86,100,91,1203
2005/8/1,1255,93,89,85,94,96,85,98,84,1319
2005/9/1,1244,77,77,74,86,93,71,84,63,1328
2005/10/1,1336,72,80,75,83,81,69,78,64,1260
2005/11/1,1214,78,79,73,76,75,62,72,58,1286
2005/12/1,1239,72,71,69,70,73,61,70,65,1274
2006/1/1,1174,83,86,87,85,81,74,91,88,1389
2006/2/1,1061,84,86,88,100,82,75,94,82,1255
2006/3/1,1116,85,83,83,94,81,78,93,79,1244
2006/4/1,1123,93,80,81,93,78,78,94,73,1336
2006/5/1,1086,88,79,76,92,80,74,90,74,1214
2006/6/1,1074,95,84,72,95,86,77,91,84,1239
2006/7/1,965,98,81,72,90,88,80,96,91,1174
2006/8/1,1035,91,86,77,94,89,81,93,80,1061
2006/9/1,1016,74,76,73,83,78,69,83,64,1116
2006/10/1,941,68,76,67,81,76,65,76,59,1123
2006/11/1,1003,63,69,61,72,66,60,67,56,1086
2006/12/1,998,62,66,61,67,65,58,68,59,1074
2007/1/1,891,79,78,72,80,76,68,86,85,965
2007/2/1,828,74,80,72,78,73,67,84,79,1035
2007/3/1,833,76,77,69,78,72,68,85,74,1016
2007/4/1,887,86,76,70,86,83,71,89,74,941
2007/5/1,842,82,73,62,76,84,67,82,71,1003
2007/6/1,793,82,73,61,76,78,68,82,76,998
2007/7/1,778,87,75,66,78,80,71,90,84,891
2007/8/1,699,82,74,63,77,82,67,84,73,828
2007/9/1,686,68,65,58,69,70,57,72,58,833
2007/10/1,727,66,69,55,70,70,56,70,57,887
2007/11/1,641,60,61,50,60,62,50,63,49,842
2007/12/1,619,57,58,48,54,61,48,59,53,793
2008/1/1,627,72,66,57,66,72,57,78,75,778
2008/2/1,593,68,67,56,64,69,58,75,69,699
2008/3/1,535,71,63,51,64,67,57,73,65,686
2008/4/1,536,75,64,52,68,68,57,75,62,727
2008/5/1,504,72,60,48,63,65,54,71,59,641
2008/6/1,487,72,58,46,61,65,52,70,67,619
2008/7/1,477,78,62,46,62,70,57,73,69,627
2008/8/1,435,70,59,46,58,64,52,68,59,593
2008/9/1,433,60,54,44,57,58,47,63,49,535
2008/10/1,393,55,52,40,56,59,45,59,45,536
2008/11/1,389,48,42,36,46,50,38,52,42,504
2008/12/1,377,48,42,34,46,50,39,53,46,487
2009/1/1,336,57,46,40,54,56,44,62,60,477
2009/2/1,372,55,45,38,55,55,44,62,53,435
2009/3/1,339,58,45,40,57,59,46,63,52,433
2009/4/1,337,61,43,38,57,58,44,64,51,393
2009/5/1,376,58,39,36,49,52,43,59,49,389
2009/6/1,393,58,40,32,52,56,46,59,57,377
2009/7/1,411,60,41,35,51,57,45,59,58,336
2009/8/1,418,60,40,36,50,55,44,61,52,372
2009/9/1,386,49,38,34,48,52,40,54,40,339
2009/10/1,396,45,38,33,48,48,36,50,36,337
2009/11/1,375,43,35,32,43,45,35,46,37,376
2009/12/1,352,45,31,31,41,46,32,43,38,393
2010/1/1,345,54,39,37,43,47,38,52,49,411
2010/2/1,336,51,38,33,44,49,37,53,48,418
2010/3/1,381,52,38,33,49,49,39,52,46,386
2010/4/1,422,54,37,32,48,50,41,54,43,396
2010/5/1,280,52,33,31,44,48,39,49,45,375
2010/6/1,305,57,34,30,45,49,41,51,51,352
2010/7/1,283,65,36,31,45,51,41,56,55,345
2010/8/1,282,63,35,31,44,51,41,54,49,336
2010/9/1,317,52,34,30,41,47,37,48,39,381
2010/10/1,291,50,32,29,41,44,35,45,35,422
2010/11/1,287,45,31,28,38,41,32,42,34,280
2010/12/1,326,43,28,26,33,39,29,39,36,305
2011/1/1,307,66,38,34,45,55,36,58,57,283
2011/2/1,270,67,41,33,46,54,38,60,55,282
2011/3/1,300,69,41,33,47,54,38,61,55,317
2011/4/1,310,72,40,33,50,56,41,63,53,291
2011/5/1,305,72,39,32,46,54,40,61,55,287
2011/6/1,301,71,38,31,46,57,42,61,60,326
2011/7/1,296,80,39,35,47,58,43,65,65,307
2011/8/1,299,78,39,34,48,58,38,60,55,270
2011/9/1,304,63,35,34,46,52,33,56,44,300
2011/10/1,316,58,36,31,44,53,33,54,41,310
2011/11/1,328,55,34,30,40,50,31,50,39,305
2011/12/1,341,56,33,31,39,47,32,48,42,301
2012/1/1,335,71,38,35,42,53,35,61,59,296
2012/2/1,366,68,39,33,45,52,36,62,54,299
2012/3/1,354,69,38,32,45,53,37,64,54,304
2012/4/1,354,73,38,34,46,52,38,64,57,316
2012/5/1,370,72,36,33,44,53,39,63,55,328
2012/6/1,360,74,35,31,44,55,40,62,60,341
2012/7/1,369,82,37,33,44,55,39,65,63,335
2012/8/1,375,76,38,32,46,55,37,63,54,366
2012/9/1,385,65,35,33,42,51,33,58,47,354
2012/10/1,358,63,34,30,42,48,32,53,41,354
2012/11/1,392,58,31,29,38,43,30,49,39,370
2012/12/1,399,60,29,28,35,42,29,48,40,360
2013/1/1,442,73,36,33,41,51,33,57,54,369
2013/2/1,439,68,36,31,42,50,34,59,54,375
2013/3/1,449,69,38,31,42,51,35,60,51,385
2013/4/1,451,74,37,32,46,51,37,61,49,358
2013/5/1,430,73,33,32,44,50,36,63,51,392
2013/6/1,463,77,33,30,44,49,37,64,60,399
2013/7/1,376,79,36,34,44,54,36,67,63,442
2013/8/1,380,77,35,32,45,51,35,63,53,439
2013/9/1,399,69,33,32,41,47,30,56,42,449
2013/10/1,444,62,32,29,41,46,29,51,38,451
2013/11/1,446,58,31,30,36,42,27,49,36,430
2013/12/1,441,57,30,28,33,40,26,48,39,463
2014/1/1,447,68,35,30,38,47,29,58,51,376
2014/2/1,423,68,35,30,38,47,29,57,46,380
2014/3/1,410,73,35,31,40,47,31,62,49,399
2014/4/1,401,73,35,29,41,48,31,62,46,444
2014/5/1,452,72,32,27,39,48,32,60,47,446
2014/6/1,416,72,33,28,40,45,36,59,54,441
2014/7/1,402,73,32,29,41,49,35,61,57,447
2014/8/1,449,72,31,28,39,46,34,60,47,423
2014/9/1,466,63,31,28,39,46,29,55,40,410
2014/10/1,474,58,33,27,39,43,28,50,38,401
2014/11/1,446,56,28,26,31,37,25,46,35,452
2014/12/1,492,53,28,25,32,38,25,44,36,416
2015/1/1,523,61,31,28,34,40,29,54,47,402
2015/2/1,549,62,32,27,36,42,34,55,45,449
2015/3/1,481,64,31,27,37,41,29,52,44,466
2015/4/1,500,63,31,26,39,41,29,55,42,474
2015/5/1,504,62,28,25,36,40,28,55,42,446
2015/6/1,476,63,30,24,37,42,29,55,47,492
2015/7/1,498,67,31,25,37,44,29,57,51,523
2015/8/1,513,66,29,25,36,42,27,57,45,549
2015/9/1,461,55,28,25,36,39,24,50,37,481
2015/10/1,482,54,28,24,34,37,23,49,34,500
2015/11/1,508,49,25,23,29,32,23,44,32,504
2015/12/1,536,49,24,22,30,34,24,44,34,476